4,2/14/2018
5,1/22/2018
5,1/6/2018
5,8/23/2017
5,5/31/2017
5,12/14/2017
1,5/10/2017
5,2/7/2017
5,4/19/2017
4,3/1/2017
4,9/23/2017
3,8/1/2015
1,11/21/2016
4,5/6/2017
5,9/30/2017
1,9/2/2017
4,3/31/2017
5,9/8/2016
1,2/6/2017
2,9/21/2015
5,1/18/2016
4,9/4/2013
4,3/25/2016
4,10/16/2015
4,8/11/2013
4,8/10/2016
4,4/19/2015
2,8/11/2015
5,6/3/2015
4,8/23/2012
4,10/29/2014
4,1/29/2014
5,7/22/2014
5,7/3/2012
5,4/16/2015
4,3/24/2014
4,3/18/2016
4,2/1/2013
1,10/2/2014
1,6/10/2014
3,8/29/2014
4,11/13/2011
1,7/1/2013
4,1/29/2009
4,4/10/2012
4,10/7/2010
1,4/5/2012
4,1/27/2012
4,8/24/2009
3,10/9/2009
4,3/15/2011
3,9/1/2011
1,4/17/2012
4,8/25/2008
4,4/21/2011
5,8/25/2008
3,9/22/2009
3,1/23/2013
4,7/15/2009
4,1/11/2009
3,8/6/2007
